net,length_um
_02134_,133.56
_05524_,133.02
net72,131.76
net103,131.515
net41,131.16
_00523_,131.11
_02235_,129.86
net86,129.48
_05451_,125.84
_00991_,125.11
_05833_,123.98
_03738_,123.06
_00175_,117.41
_01232_,117.38
_00846_,116.7
_00375_,116.31
_00100_,115.88
_01889_,114.46
_05150_,114.14
_01741_,113.86
_01352_,113.85
_05507_,113.8
_03699_,113.56
_00777_,112.55
_00342_,112.51
_03571_,112.05
_00354_,110.5
_07075_,110.47
_03527_,110.44
_02160_,110.24
_03147_,110.2
net25,109.55
_03559_,109.14
_01712_,108.78
_02293_,108.39
_03501_,108.36
_03697_,108.185
net74,107.48
_04575_,107
_03744_,106.44
_06684_,106.42
_05969_,106.185
_03540_,105.76
_00547_,105.56
_01506_,105.535
_06552_,105.48
_01867_,105.32
_01752_,105.235
_03609_,104.64
_00219_,104.48
_01463_,104.205
_06540_,103.56
_03503_,103.285
_03480_,103.09
_00666_,103.02
_00383_,102.78
_01058_,102.6
net71,102
_06938_,101.7
_05424_,101.64
_01394_,101.48
_05193_,101.08
_03566_,100.74
_00898_,100.46
_00705_,100.32
_01343_,100.3
_05136_,99.8
_05291_,99.255
_01500_,99.2
_02278_,98.63
_06967_,98.24
_03729_,97.895
_05597_,97.82
_06778_,97.24
_03449_,96.95
_02308_,96.39
_03850_,96.02
_04180_,95.82
_00367_,95.78
net32,95.78
net75,95.7
_00780_,95.3
_04014_,95.045
_05593_,94.97
_01546_,94.6
_05169_,94.38
_02502_,94.16
_00208_,94
_02498_,93.9
_02949_,93.355
_00210_,93.02
_05985_,92.32
_01032_,91.12
_00792_,90.04
net67,90
_03460_,89.7
_04142_,89.68
net85,89.26
net88,89.24
_05390_,88.63
_06018_,88.59
_06525_,87.61
_04580_,87.58
_02268_,86.94
_00635_,86.83
_01160_,86.82
_03664_,86.82
_02345_,86.78
_05563_,86.62
_05205_,86.58
_00050_,86.46
_00251_,86.02
net100,85.98
_04983_,85.12
_02156_,84.66
_05843_,84.24
_01640_,84.19
_05180_,84.1
_02241_,84.03
_05841_,84.02
net163,83.78
_05195_,83.28
_05569_,83.26
_05173_,82.96
_04287_,82.14
_02644_,81.78
net107,81.72
_01255_,81.36
_02046_,81.36
_04455_,80.9
_04013_,79.72
_05142_,79.46
_04357_,79.38
_06931_,79.29
_00841_,78.78
